x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-52.7525,47.61861111,50089,ST. JOHN'S INTL A,NL,NEWFOUNDLAND,CAN,473707000,-524509000,NST,140.5,8403505,YYT,71801,Aviation-Staffed,,,,NAVCAN,NAV Canada,3/20/2012 0:00,6/7/2022 12:30,3/20/2012 15:30,6/7/2022 12:30,3/20/2012 0:00,6/7/2022 0:00,,,Y,N,Y
-115.5666667,51.18333333,2364,BANFF,AB,ALBERTA,CAN,511100000,-1153400000,MST,1383.7,3050520,,,N/A,C,1,4,,,1887-01-01 00:00:00,3/31/1995 12:00,1/1/1953 1:00,3/31/1995 12:00,1887-11-01 00:00:00,3/31/1995 0:00,1887-01-01 00:00:00,3/1/1995 0:00,Y,N,Y
-106.5833333,51.13333333,3088,ELBOW CS,SK,SASKATCHEWAN,CAN,510800000,-1063500000,CST,595,4022359,WOK,71450,Climate-Auto,G,1,8,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1/1/1972 0:00,6/7/2022 12:30,2/1/1994 1:00,6/7/2022 12:30,1/1/1973 0:00,6/7/2022 0:00,1/1/1972 0:00,11/1/2007 0:00,Y,N,Y
-107.6833333,50.3,3155,SWIFT CURRENT A,SK,SASKATCHEWAN,CAN,501800000,-1074100000,CST,816.9,4028040,YYN,71870,Aviation-Auto,C,1,4,,,1/1/1938 0:00,6/30/2011 12:00,1/1/1953 0:00,6/30/2011 12:00,5/1/1938 0:00,6/30/2011 0:00,1/1/1938 0:00,11/1/2007 0:00,Y,N,Y
-105.9791833,49.16778889,3193,ROCKGLEN (AUT),SK,SASKATCHEWAN,CAN,491004040,-1055845060,CST,917,4036844,WKO,71135,Climate-Auto,F,1,7,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,12/1/1970 0:00,6/7/2022 12:30,12/8/1970 9:00,6/7/2022 12:30,12/1/1970 0:00,6/7/2022 0:00,1/1/1971 0:00,11/1/2007 0:00,Y,N,Y
-100.8838889,61.13194444,7341,ENNADAI LAKE (AUT),NU,NUNAVUT,CAN,610755000,-1005302000,CST,353.1,2301102,WJC,71923,Climate-Auto,G,1,8,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2/1/1994 7:58,6/7/2022 12:30,2/1/1994 7:58,6/7/2022 12:30,12/6/1994 0:00,6/7/2022 0:00,2/1/1998 0:00,8/1/2007 0:00,Y,N,Y
-63.26666667,45.36666667,6491,TRURO,NS,NOVA SCOTIA,CAN,452200000,-631600000,AST,39.9,8205990,,,Climate-Staffed,A,1,1,,,1/1/1960 0:00,10/31/2002 0:00,10/1/1960 0:00,12/31/1986 15:00,10/1/1960 0:00,10/31/2002 0:00,1/1/1960 0:00,10/1/2002 0:00,Y,Y,Y
-109.1833333,51.51666667,3231,KINDERSLEY A,SK,SASKATCHEWAN,CAN,513100000,-1091100000,CST,693.7,4043900,YKY,71129,Aviation-Staffed,D,1,5,,,1/1/1984 0:00,11/14/2013 12:00,8/23/1984 1:00,11/14/2013 12:00,9/1/1984 0:00,11/13/2013 0:00,1/1/1984 0:00,11/1/2013 0:00,Y,Y,Y
-103.7116667,58.19,10663,COLLINS BAY,SK,SASKATCHEWAN,CAN,581124000,-1034242000,CST,490.1,4061629,,,Climate-Auto,G,1,8,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,12/1/1992 0:00,4/16/2018 0:00,2/1/1994 1:00,1/15/2015 10:00,12/1/1992 0:00,4/16/2018 0:00,2/1/1996 0:00,11/1/2007 0:00,Y,N,Y
-106.0666667,53.91666667,10688,WASKESIU LAKE,SK,SASKATCHEWAN,CAN,535500000,-1060400000,CST,569.4,4068559,WLV,71454,Climate-Auto,G,1,8,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,12/1/1992 0:00,6/7/2022 12:30,2/1/1994 1:00,6/7/2022 12:30,12/1/1992 0:00,6/7/2022 0:00,1/1/1996 0:00,11/1/2007 0:00,Y,N,Y
-104.6,52.81666667,10727,MELFORT,SK,SASKATCHEWAN,CAN,524900000,-1043600000,CST,490,4055079,WFF,71456,Climate-Auto,G,1,8,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,12/1/1992 0:00,6/7/2022 12:30,2/1/1994 1:00,6/7/2022 12:30,12/1/1992 0:00,6/7/2022 0:00,4/1/1996 0:00,11/1/2007 0:00,Y,N,Y
-121.35,61.86666667,1655,FORT SIMPSON,NT,NORTHWEST TERRITORIES,CAN,615200000,-1212100000,MST,131.7,2202100,,,N/A,,1,9,,,1895-01-01 00:00:00,12/1/1963 0:00,1/1/1953 1:00,10/31/1963 23:00,1895-11-01 00:00:00,10/31/1963 0:00,1895-01-01 00:00:00,12/1/1963 0:00,Y,N,Y
-63.12863056,46.28861667,6526,CHARLOTTETOWN A,PE,PRINCE EDWARD ISLAND,CAN,461719020,-630743070,AST,48.8,8300300,YYG,71706,Aviation-Staffed,A,1,1,,,1/1/1943 0:00,9/13/2012 14:00,1/1/1953 0:00,9/13/2012 14:00,4/1/1943 0:00,9/12/2012 0:00,1/1/1943 0:00,9/1/2012 0:00,N,Y,Y
-89.79722222,68.54055556,1719,KUGAARUK A,NU,NUNAVUT,CAN,683226000,-894750000,MST,15.5,2303092,YBB,,N/A,E,1,6,,,1/1/1984 0:00,2/12/2015 11:00,12/1/1984 16:00,2/12/2015 11:00,7/1/1984 0:00,8/24/2012 0:00,1/1/1984 0:00,11/1/2007 0:00,Y,Y,Y
-93.58333333,69.55,1783,TALOYOAK A,NU,NUNAVUT,CAN,693300000,-933500000,MST,27.4,2403854,YYH,71580,N/A,E,1,6,,,1/1/1984 0:00,1/15/2015 11:00,12/1/1984 9:00,1/15/2015 11:00,9/1/1984 0:00,1/15/2015 0:00,1/1/1984 0:00,1/1/2015 0:00,Y,Y,Y
